H1	H2	H3	nABBA	nBABA	Dstat	jackEst	SE	Z	
BKN011_ZEAHRFRACDIAAPE.bam	BKN014_ZEAHRFRADDIAAPE.bam	BKN009_ZEAHRFRAADIAAPE.bam	1023	1507	-0.1913043	-0.1913043	0.03190917	-5.995278	
BKN011_ZEAHRFRACDIAAPE.bam	BKN015_ZEAHRFRAEDIAAPE.bam	BKN009_ZEAHRFRAADIAAPE.bam	1142	775	0.191445	0.191445	0.03646474	5.250139	
BKN014_ZEAHRFRADDIAAPE.bam	BKN015_ZEAHRFRAEDIAAPE.bam	BKN009_ZEAHRFRAADIAAPE.bam	1409	588	0.4111167	0.4111167	0.03218199	12.77474	
BKN011_ZEAHRFRACDIAAPE.bam	BKN019_ZEAHRFRAIDIAAPE.bam	BKN009_ZEAHRFRAADIAAPE.bam	1560	710	0.3744493	0.3744493	0.03122869	11.99055	
BKN014_ZEAHRFRADDIAAPE.bam	BKN019_ZEAHRFRAIDIAAPE.bam	BKN009_ZEAHRFRAADIAAPE.bam	1950	699	0.4722537	0.4722537	0.02748489	17.1823	
BKN015_ZEAHRFRAEDIAAPE.bam	BKN019_ZEAHRFRAIDIAAPE.bam	BKN009_ZEAHRFRAADIAAPE.bam	970	607	0.2301839	0.2301839	0.03536945	6.507986	
BKN011_ZEAHRFRACDIAAPE.bam	BKN022_ZEAHRFRAKDIAAPE.bam	BKN009_ZEAHRFRAADIAAPE.bam	1143	969	0.08238636	0.08238636	0.03189081	2.583389	
BKN014_ZEAHRFRADDIAAPE.bam	BKN022_ZEAHRFRAKDIAAPE.bam	BKN009_ZEAHRFRAADIAAPE.bam	1524	840	0.2893401	0.2893401	0.02918934	9.912526	
BKN015_ZEAHRFRAEDIAAPE.bam	BKN022_ZEAHRFRAKDIAAPE.bam	BKN009_ZEAHRFRAADIAAPE.bam	822	1018	-0.1065217	-0.1065217	0.03274612	-3.252958	
BKN019_ZEAHRFRAIDIAAPE.bam	BKN022_ZEAHRFRAKDIAAPE.bam	BKN009_ZEAHRFRAADIAAPE.bam	648	1168	-0.2863436	-0.2863436	0.03133053	-9.139443	
BKN011_ZEAHRFRACDIAAPE.bam	BKN025_ZEAHRFRAMDIAAPE.bam	BKN009_ZEAHRFRAADIAAPE.bam	1465	1136	0.1264898	0.1264898	0.03224094	3.923267	
BKN014_ZEAHRFRADDIAAPE.bam	BKN025_ZEAHRFRAMDIAAPE.bam	BKN009_ZEAHRFRAADIAAPE.bam	1715	1012	0.2577924	0.2577924	0.03014511	8.551716	
BKN015_ZEAHRFRAEDIAAPE.bam	BKN025_ZEAHRFRAMDIAAPE.bam	BKN009_ZEAHRFRAADIAAPE.bam	830	1015	-0.100271	-0.100271	0.03596949	-2.787668	
BKN019_ZEAHRFRAIDIAAPE.bam	BKN025_ZEAHRFRAMDIAAPE.bam	BKN009_ZEAHRFRAADIAAPE.bam	553	1050	-0.3100437	-0.3100437	0.03376384	-9.182713	
BKN022_ZEAHRFRAKDIAAPE.bam	BKN025_ZEAHRFRAMDIAAPE.bam	BKN009_ZEAHRFRAADIAAPE.bam	1004	949	0.0281618	0.0281618	0.03313655	0.8498713	
BKN011_ZEAHRFRACDIAAPE.bam	BKN026_ZEAHRFRANDIAAPE.bam	BKN009_ZEAHRFRAADIAAPE.bam	935	1388	-0.1950065	-0.1950065	0.03119398	-6.251414	
BKN014_ZEAHRFRADDIAAPE.bam	BKN026_ZEAHRFRANDIAAPE.bam	BKN009_ZEAHRFRAADIAAPE.bam	780	734	0.03038309	0.03038309	0.03779693	0.8038508	
BKN015_ZEAHRFRAEDIAAPE.bam	BKN026_ZEAHRFRANDIAAPE.bam	BKN009_ZEAHRFRAADIAAPE.bam	496	1163	-0.4020494	-0.4020494	0.03197498	-12.57388	
