H1	H2	H3	nABBA	nBABA	Dstat	jackEst	SE	Z	
TIL03.bam	TIL04-TIP454.bam	TIL01_435BCAAXX.bam	1034	585	0.2773317	0.2773317	0.03161993	8.770789	
TIL03.bam	TIL07_FC6162DAAXX.bam	TIL01_435BCAAXX.bam	846	548	0.2137733	0.2137733	0.03219054	6.640875	
TIL04-TIP454.bam	TIL07_FC6162DAAXX.bam	TIL01_435BCAAXX.bam	719	849	-0.08290816	-0.08290816	0.03393698	-2.443004	
TIL03.bam	TIL09_FC61694AAXX.bam	TIL01_435BCAAXX.bam	748	574	0.1316188	0.1316188	0.03503386	3.756902	
TIL04-TIP454.bam	TIL09_FC61694AAXX.bam	TIL01_435BCAAXX.bam	688	938	-0.1537515	-0.1537515	0.03339918	-4.603452	
TIL07_FC6162DAAXX.bam	TIL09_FC61694AAXX.bam	TIL01_435BCAAXX.bam	634	835	-0.1368278	-0.1368278	0.0336902	-4.061352	
TIL03.bam	TIL11_FC61694AAXX.bam	TIL01_435BCAAXX.bam	788	416	0.3089701	0.3089701	0.03463762	8.920073	
TIL04-TIP454.bam	TIL11_FC61694AAXX.bam	TIL01_435BCAAXX.bam	664	721	-0.04115523	-0.04115523	0.03743265	-1.099448	
TIL07_FC6162DAAXX.bam	TIL11_FC61694AAXX.bam	TIL01_435BCAAXX.bam	605	569	0.0306644	0.0306644	0.0377093	0.8131785	
TIL09_FC61694AAXX.bam	TIL11_FC61694AAXX.bam	TIL01_435BCAAXX.bam	770	552	0.1649017	0.1649017	0.03585776	4.598772	
TIL03.bam	TIL15_FC6144GAAXX.bam	TIL01_435BCAAXX.bam	905	678	0.1433986	0.1433986	0.03220473	4.45272	
TIL04-TIP454.bam	TIL15_FC6144GAAXX.bam	TIL01_435BCAAXX.bam	658	865	-0.135916	-0.135916	0.03471813	-3.91484	
TIL07_FC6162DAAXX.bam	TIL15_FC6144GAAXX.bam	TIL01_435BCAAXX.bam	729	893	-0.1011097	-0.1011097	0.03311502	-3.05329	
TIL09_FC61694AAXX.bam	TIL15_FC6144GAAXX.bam	TIL01_435BCAAXX.bam	816	735	0.05222437	0.05222437	0.03392027	1.539621	
TIL11_FC61694AAXX.bam	TIL15_FC6144GAAXX.bam	TIL01_435BCAAXX.bam	635	827	-0.1313269	-0.1313269	0.0355288	-3.696352	
TIL03.bam	TIL16_FC6153UAAXX.bam	TIL01_435BCAAXX.bam	362	365	-0.004126547	-0.004126547	0.04476664	-0.09217908	
TIL04-TIP454.bam	TIL16_FC6153UAAXX.bam	TIL01_435BCAAXX.bam	312	495	-0.2267658	-0.2267658	0.04205967	-5.391526	
