H1	H2	H3	nABBA	nBABA	Dstat	jackEst	SE	Z	
BKN011_ZEAHRFRACDIAAPE.bam	BKN014_ZEAHRFRADDIAAPE.bam	BKN009_ZEAHRFRAADIAAPE.bam	1017	1506	-0.1938169	-0.1938169	0.04412524	-4.392427	
BKN011_ZEAHRFRACDIAAPE.bam	BKN015_ZEAHRFRAEDIAAPE.bam	BKN009_ZEAHRFRAADIAAPE.bam	1153	758	0.2066981	0.2066981	0.049218	4.199644	
BKN014_ZEAHRFRADDIAAPE.bam	BKN015_ZEAHRFRAEDIAAPE.bam	BKN009_ZEAHRFRAADIAAPE.bam	1428	576	0.4251497	0.4251497	0.04272767	9.95022	
BKN011_ZEAHRFRACDIAAPE.bam	BKN019_ZEAHRFRAIDIAAPE.bam	BKN009_ZEAHRFRAADIAAPE.bam	1551	726	0.3623188	0.3623188	0.04519956	8.015981	
BKN014_ZEAHRFRADDIAAPE.bam	BKN019_ZEAHRFRAIDIAAPE.bam	BKN009_ZEAHRFRAADIAAPE.bam	1930	694	0.4710366	0.4710366	0.03855237	12.2181	
BKN015_ZEAHRFRAEDIAAPE.bam	BKN019_ZEAHRFRAIDIAAPE.bam	BKN009_ZEAHRFRAADIAAPE.bam	944	627	0.2017823	0.2017823	0.04735323	4.261215	
BKN011_ZEAHRFRACDIAAPE.bam	BKN022_ZEAHRFRAKDIAAPE.bam	BKN009_ZEAHRFRAADIAAPE.bam	1117	962	0.07455507	0.07455507	0.04333229	1.720543	
BKN014_ZEAHRFRADDIAAPE.bam	BKN022_ZEAHRFRAKDIAAPE.bam	BKN009_ZEAHRFRAADIAAPE.bam	1510	861	0.2737242	0.2737242	0.03926188	6.971755	
BKN015_ZEAHRFRAEDIAAPE.bam	BKN022_ZEAHRFRAKDIAAPE.bam	BKN009_ZEAHRFRAADIAAPE.bam	803	1052	-0.1342318	-0.1342318	0.0442701	-3.03211	
BKN019_ZEAHRFRAIDIAAPE.bam	BKN022_ZEAHRFRAKDIAAPE.bam	BKN009_ZEAHRFRAADIAAPE.bam	655	1177	-0.2849345	-0.2849345	0.04254745	-6.696865	
BKN011_ZEAHRFRACDIAAPE.bam	BKN025_ZEAHRFRAMDIAAPE.bam	BKN009_ZEAHRFRAADIAAPE.bam	1472	1121	0.1353644	0.1353644	0.04727019	2.863632	
BKN014_ZEAHRFRADDIAAPE.bam	BKN025_ZEAHRFRAMDIAAPE.bam	BKN009_ZEAHRFRAADIAAPE.bam	1730	1012	0.2618527	0.2618527	0.04323077	6.057091	
